Company,Year_End,ROCE%,LI,D/E,Revenue Growth %,LI*D/E,LI*Revenue Growth %,D/E*Revenue Growth %,LI*D/E*Revenue Growth %
1,M25,12.92,0.88,0.90,-13.34,0.79,-11.72,-12.01,-10.55
1,M24,19.41,0.87,1.04,-8.83,0.90,-7.66,-9.18,-7.97
1,M23,22.49,0.48,1.33,-0.40,0.64,-0.19,-0.54,-0.26
1,M22,27.04,0.40,1.11,69.91,0.44,27.93,77.60,31.01
1,M21,12.82,0.74,1.16,13.59,0.86,10.07,15.76,11.68
2,M25,12.44,1.19,0.46,2.62,0.54,3.13,1.20,1.43
2,M24,13.33,1.00,0.33,6.69,0.33,6.68,2.23,2.23
2,M23,11.18,0.97,0.28,37.27,0.27,36.11,10.48,10.15
2,M22,5.76,0.98,0.25,26.89,0.24,26.39,6.59,6.47
2,M21,4.03,1.18,0.22,-11.81,0.25,-13.88,-2.56,-3.01
3,M25,15.87,2.19,0.15,5.30,0.33,11.61,0.80,1.74
3,M24,36.63,0.71,1.69,7.60,1.19,5.36,12.87,9.07
3,M23,30.53,0.75,1.56,5.20,1.16,3.88,8.12,6.05
3,M22,31.75,0.75,1.49,46.20,1.12,34.80,68.85,51.87
3,M21,23.78,0.84,0.98,25.74,0.82,21.62,25.18,21.15
4,M25,16.75,0.88,0.69,7.77,0.60,6.85,5.34,4.70
4,M24,16.16,0.80,0.83,-7.90,0.67,-6.36,-6.54,-5.26
4,M23,20.60,0.86,0.84,15.38,0.73,13.25,13.00,11.20
4,M22,19.27,0.86,0.92,46.86,0.79,40.19,43.12,36.98
4,M21,16.74,0.81,0.97,7.66,0.79,6.21,7.46,6.05
5,M25,18.20,1.13,0.61,-4.46,0.69,-5.02,-2.74,-3.08
5,M24,16.78,1.39,0.51,-14.41,0.70,-20.01,-7.29,-10.13
5,M23,34.59,1.38,0.94,45.68,1.30,63.14,43.09,59.55
5,M22,16.14,0.81,2.09,26.56,1.70,21.58,55.62,45.19
5,M21,30.08,0.88,1.65,45.45,1.45,39.97,74.87,65.85
6,M25,32.95,1.50,0.26,19.12,0.38,28.75,4.88,7.34
6,M24,32.27,1.64,0.17,7.94,0.28,13.01,1.35,2.22
6,M23,32.18,1.62,0.20,0.00,0.33,0.00,0.00,0.00
6,M22,36.50,1.45,0.43,40.00,0.63,58.15,17.23,25.05
6,M21,40.84,1.22,0.30,15.38,0.36,18.70,4.62,5.61
7,M25,16.26,3.23,0.04,14.52,0.12,46.91,0.54,1.74
7,M24,16.33,3.38,0.03,11.71,0.12,39.61,0.41,1.37
7,M23,13.64,2.84,0.05,13.27,0.15,37.64,0.68,1.94
7,M22,16.61,3.55,0.04,32.43,0.14,115.11,1.30,4.62
7,M21,9.43,3.22,0.06,-10.84,0.20,-34.88,-0.67,-2.14
8,M25,14.71,0.83,0.01,4.55,0.01,3.76,0.06,0.05
8,M24,17.21,0.68,0.01,-9.09,0.01,-6.21,-0.08,-0.06
8,M23,5.66,0.85,0.01,-3.20,0.01,-2.72,-0.05,-0.04
8,M22,7.37,1.32,0.01,-8.76,0.01,-11.55,-0.05,-0.07
